Seq. ID.	Class	AMP Probability
PROTEIN_808	NAMP	0.02
PROTEIN_809	AMP	0.93
PROTEIN_810	AMP	0.67
PROTEIN_811	AMP	0.98
PROTEIN_812	AMP	0.91
PROTEIN_813	AMP	0.94
PROTEIN_814	AMP	0.73
PROTEIN_815	NAMP	0.05
PROTEIN_816	AMP	0.82
PROTEIN_817	AMP	0.99
PROTEIN_818	AMP	0.98
PROTEIN_819	AMP	0.94
PROTEIN_820	AMP	0.85
PROTEIN_821	AMP	0.94
PROTEIN_822	AMP	0.88
PROTEIN_823	AMP	0.85
PROTEIN_824	AMP	0.83
PROTEIN_825	AMP	1.00
PROTEIN_826	AMP	0.92
PROTEIN_827	AMP	0.95
PROTEIN_828	NAMP	0.49
PROTEIN_829	NAMP	0.07
PROTEIN_830	AMP	0.99
PROTEIN_831	AMP	0.80
PROTEIN_832	AMP	0.73
PROTEIN_833	NAMP	0.01
PROTEIN_834	AMP	0.74
PROTEIN_835	AMP	0.58
PROTEIN_836	AMP	0.66
PROTEIN_837	NAMP	0.32
PROTEIN_838	AMP	0.81
PROTEIN_839	AMP	0.82
PROTEIN_840	NAMP	0.07
PROTEIN_841	AMP	0.65
PROTEIN_842	NAMP	0.03
PROTEIN_843	AMP	0.74
PROTEIN_844	NAMP	0.07
PROTEIN_845	AMP	0.88
PROTEIN_846	AMP	0.75
PROTEIN_847	NAMP	0.38
PROTEIN_848	AMP	0.98
PROTEIN_849	AMP	0.70
PROTEIN_850	AMP	0.71
PROTEIN_851	NAMP	0.40
PROTEIN_852	AMP	0.76
PROTEIN_853	AMP	0.60
PROTEIN_854	AMP	0.88
PROTEIN_855	NAMP	0.39
PROTEIN_856	AMP	0.80
PROTEIN_857	AMP	0.52
PROTEIN_858	AMP	0.79
PROTEIN_859	AMP	0.63
PROTEIN_860	AMP	0.89
PROTEIN_861	AMP	0.71
PROTEIN_862	AMP	0.63
PROTEIN_863	AMP	0.68
PROTEIN_864	AMP	0.97
PROTEIN_865	AMP	0.90
PROTEIN_866	AMP	0.92
PROTEIN_867	NAMP	0.15
PROTEIN_868	AMP	0.96
PROTEIN_869	AMP	0.96
PROTEIN_870	AMP	0.96
PROTEIN_871	AMP	0.83
PROTEIN_872	NAMP	0.01
PROTEIN_873	AMP	0.99
PROTEIN_874	NAMP	0.03
PROTEIN_875	AMP	0.70
PROTEIN_876	AMP	0.63
PROTEIN_877	AMP	0.97
PROTEIN_878	NAMP	0.32
PROTEIN_879	NAMP	0.01
PROTEIN_880	AMP	0.93
PROTEIN_881	NAMP	0.32
PROTEIN_882	NAMP	0.28
PROTEIN_883	NAMP	0.03
PROTEIN_884	AMP	0.68
PROTEIN_885	AMP	0.96
PROTEIN_886	AMP	0.99
PROTEIN_887	AMP	0.88
PROTEIN_888	NAMP	0.34
PROTEIN_889	AMP	0.97
PROTEIN_890	AMP	0.55
PROTEIN_891	NAMP	0.08
PROTEIN_892	NAMP	0.42
PROTEIN_893	AMP	0.85
PROTEIN_894	NAMP	0.11
PROTEIN_895	AMP	0.74
PROTEIN_896	AMP	0.89
PROTEIN_897	NAMP	0.10
PROTEIN_898	NAMP	0.00
PROTEIN_899	AMP	0.88
PROTEIN_900	AMP	0.65
PROTEIN_901	AMP	0.55
PROTEIN_902	AMP	0.73
PROTEIN_903	AMP	0.89
PROTEIN_904	NAMP	0.40
PROTEIN_905	AMP	0.88
PROTEIN_906	AMP	0.89
PROTEIN_907	NAMP	0.01
PROTEIN_908	NAMP	0.01
PROTEIN_909	AMP	0.71
PROTEIN_910	NAMP	0.13
PROTEIN_911	AMP	0.96
PROTEIN_912	AMP	0.95
PROTEIN_913	AMP	0.90
PROTEIN_914	NAMP	0.48
PROTEIN_915	AMP	0.79
PROTEIN_916	AMP	0.98
PROTEIN_917	NAMP	0.27
PROTEIN_918	AMP	0.58
PROTEIN_919	NAMP	0.12
PROTEIN_920	AMP	0.88
PROTEIN_921	NAMP	0.04
PROTEIN_922	AMP	0.96
PROTEIN_923	NAMP	0.05
PROTEIN_924	AMP	0.53
PROTEIN_925	AMP	0.97
PROTEIN_926	NAMP	0.46
PROTEIN_927	AMP	0.86
PROTEIN_928	AMP	0.84
PROTEIN_929	AMP	0.84
PROTEIN_930	NAMP	0.01
PROTEIN_931	AMP	0.89
PROTEIN_932	AMP	0.83
PROTEIN_933	AMP	0.51
PROTEIN_934	AMP	0.99
PROTEIN_935	AMP	0.62
PROTEIN_936	AMP	0.97
PROTEIN_937	NAMP	0.00
PROTEIN_938	AMP	0.66
PROTEIN_939	NAMP	0.18
PROTEIN_940	AMP	0.97
PROTEIN_941	NAMP	0.15
PROTEIN_942	NAMP	0.31
PROTEIN_943	AMP	0.52
PROTEIN_944	AMP	0.65
PROTEIN_945	NAMP	0.01
PROTEIN_946	AMP	0.74
PROTEIN_947	AMP	0.82
PROTEIN_948	NAMP	0.45
PROTEIN_949	NAMP	0.10
PROTEIN_950	AMP	0.87
PROTEIN_951	AMP	0.99
PROTEIN_952	AMP	0.85
PROTEIN_953	AMP	0.82
PROTEIN_954	AMP	0.97
PROTEIN_955	AMP	0.93
PROTEIN_956	AMP	0.79
PROTEIN_957	AMP	0.61
PROTEIN_958	AMP	0.60
PROTEIN_959	NAMP	0.01
PROTEIN_960	AMP	0.94
PROTEIN_961	AMP	0.85
PROTEIN_962	AMP	0.69
PROTEIN_963	AMP	0.98
PROTEIN_964	AMP	0.68
PROTEIN_965	NAMP	0.25
PROTEIN_966	AMP	0.85
PROTEIN_967	NAMP	0.00
PROTEIN_968	AMP	0.98
PROTEIN_969	AMP	0.60
PROTEIN_970	NAMP	0.35
PROTEIN_971	AMP	0.83
PROTEIN_972	AMP	0.75
PROTEIN_973	AMP	0.77
PROTEIN_974	AMP	0.57
PROTEIN_975	AMP	0.75
PROTEIN_976	AMP	0.82
PROTEIN_977	NAMP	0.00
PROTEIN_978	AMP	0.84
PROTEIN_979	AMP	0.89
PROTEIN_980	AMP	0.59
PROTEIN_981	AMP	0.89
PROTEIN_982	AMP	0.97
PROTEIN_983	AMP	0.65
PROTEIN_984	NAMP	0.28
PROTEIN_985	AMP	0.60
PROTEIN_986	NAMP	0.02
PROTEIN_987	AMP	0.99
PROTEIN_988	NAMP	0.46
PROTEIN_989	NAMP	0.02
PROTEIN_990	AMP	0.79
PROTEIN_991	NAMP	0.01
PROTEIN_992	AMP	0.93
PROTEIN_993	AMP	0.98
PROTEIN_994	AMP	0.79
PROTEIN_995	AMP	0.51
PROTEIN_996	AMP	0.85
PROTEIN_997	AMP	0.96
PROTEIN_998	AMP	0.68
PROTEIN_999	AMP	0.89
PROTEIN_1000	AMP	0.94
PROTEIN_1001	AMP	0.82
PROTEIN_1002	AMP	0.97
PROTEIN_1003	NAMP	0.45
PROTEIN_1004	NAMP	0.28
PROTEIN_1005	AMP	0.97
PROTEIN_1006	AMP	0.91
PROTEIN_1007	NAMP	0.06
PROTEIN_1008	NAMP	0.36
PROTEIN_1009	NAMP	0.06
PROTEIN_1010	AMP	0.95
PROTEIN_1011	AMP	0.87
PROTEIN_1012	AMP	0.90
PROTEIN_1013	NAMP	0.32
PROTEIN_1014	AMP	0.80
PROTEIN_1015	AMP	0.61
PROTEIN_1016	AMP	0.52
PROTEIN_1017	AMP	0.78
PROTEIN_1018	NAMP	0.31
PROTEIN_1019	AMP	0.75
PROTEIN_1020	AMP	0.55
PROTEIN_1021	AMP	0.85
PROTEIN_1022	AMP	0.90
PROTEIN_1023	AMP	0.86
PROTEIN_1024	NAMP	0.12
PROTEIN_1025	NAMP	0.32
PROTEIN_1026	NAMP	0.01
PROTEIN_1027	AMP	0.91
PROTEIN_1028	AMP	0.81
PROTEIN_1029	AMP	0.61
PROTEIN_1030	NAMP	0.23
PROTEIN_1031	NAMP	0.31
PROTEIN_1032	AMP	0.97
PROTEIN_1033	AMP	0.61
PROTEIN_1034	AMP	0.95
PROTEIN_1035	NAMP	0.00
PROTEIN_1036	AMP	0.91
PROTEIN_1037	AMP	0.98
PROTEIN_1038	AMP	0.70
PROTEIN_1039	AMP	0.97
PROTEIN_1040	AMP	0.78
PROTEIN_1041	AMP	0.79
PROTEIN_1042	AMP	0.87
PROTEIN_1043	AMP	0.98
PROTEIN_1044	AMP	0.98
PROTEIN_1045	NAMP	0.00
PROTEIN_1046	AMP	0.80
PROTEIN_1047	AMP	0.75
PROTEIN_1048	NAMP	0.05
PROTEIN_1049	AMP	0.93
PROTEIN_1050	AMP	0.55
PROTEIN_1051	AMP	0.73
PROTEIN_1052	NAMP	0.48
PROTEIN_1053	AMP	0.99
PROTEIN_1054	AMP	0.66
PROTEIN_1055	NAMP	0.42
PROTEIN_1056	AMP	0.94
PROTEIN_1057	AMP	0.97
PROTEIN_1058	NAMP	0.01
PROTEIN_1059	AMP	0.94
PROTEIN_1060	AMP	0.95
PROTEIN_1061	AMP	0.88
PROTEIN_1062	AMP	0.97
PROTEIN_1063	AMP	0.91
PROTEIN_1064	AMP	0.92
PROTEIN_1065	NAMP	0.34
PROTEIN_1066	NAMP	0.00
PROTEIN_1067	NAMP	0.32
PROTEIN_1068	AMP	0.70
PROTEIN_1069	AMP	0.98
PROTEIN_1070	AMP	0.99
PROTEIN_1071	AMP	0.98
PROTEIN_1072	AMP	0.98
PROTEIN_1073	NAMP	0.29
PROTEIN_1074	NAMP	0.22
PROTEIN_1075	AMP	0.99
PROTEIN_1076	AMP	0.85
PROTEIN_1077	AMP	0.89
PROTEIN_1078	AMP	0.90
PROTEIN_1079	AMP	0.92
PROTEIN_1080	AMP	0.82
PROTEIN_1081	AMP	0.84
PROTEIN_1082	NAMP	0.01
PROTEIN_1083	AMP	0.96
PROTEIN_1084	NAMP	0.38
PROTEIN_1085	AMP	0.92
PROTEIN_1086	NAMP	0.16
PROTEIN_1087	NAMP	0.12
PROTEIN_1088	NAMP	0.47
PROTEIN_1089	AMP	0.91
PROTEIN_1090	AMP	0.89
PROTEIN_1091	AMP	0.75
PROTEIN_1092	NAMP	0.25
PROTEIN_1093	AMP	0.93
PROTEIN_1094	AMP	0.90
PROTEIN_1095	NAMP	0.00
PROTEIN_1096	NAMP	0.00
PROTEIN_1097	AMP	0.93
PROTEIN_1098	NAMP	0.13
PROTEIN_1099	AMP	0.90
PROTEIN_1100	AMP	0.83
PROTEIN_1101	AMP	0.94
PROTEIN_1102	AMP	0.53
PROTEIN_1103	NAMP	0.47
PROTEIN_1104	AMP	0.87
PROTEIN_1105	NAMP	0.06
PROTEIN_1106	AMP	0.67
PROTEIN_1107	AMP	0.76
PROTEIN_1108	AMP	0.73
PROTEIN_1109	AMP	0.85
PROTEIN_1110	NAMP	0.39
PROTEIN_1111	AMP	0.84
PROTEIN_1112	AMP	0.85
PROTEIN_1113	AMP	0.95
PROTEIN_1114	AMP	0.99
PROTEIN_1115	AMP	0.79
PROTEIN_1116	AMP	0.74
PROTEIN_1117	AMP	0.65
PROTEIN_1118	NAMP	0.06
PROTEIN_1119	NAMP	0.00
PROTEIN_1120	AMP	0.94
PROTEIN_1121	NAMP	0.43
PROTEIN_1122	AMP	0.68
PROTEIN_1123	NAMP	0.41
PROTEIN_1124	AMP	0.96
PROTEIN_1125	NAMP	0.34
PROTEIN_1126	AMP	0.63
PROTEIN_1127	NAMP	0.41
PROTEIN_1128	AMP	0.95
PROTEIN_1129	AMP	0.56
PROTEIN_1130	NAMP	0.23
PROTEIN_1131	AMP	0.96
PROTEIN_1132	NAMP	0.34
PROTEIN_1133	AMP	0.94
PROTEIN_1134	AMP	0.98
PROTEIN_1135	NAMP	0.24
PROTEIN_1136	AMP	0.96
PROTEIN_1137	NAMP	0.23
PROTEIN_1138	AMP	0.95
PROTEIN_1139	AMP	0.73
PROTEIN_1140	AMP	0.89
PROTEIN_1141	AMP	0.95
PROTEIN_1142	NAMP	0.17
PROTEIN_1143	NAMP	0.46
PROTEIN_1144	AMP	0.76
PROTEIN_1145	NAMP	0.02
PROTEIN_1146	NAMP	0.02
PROTEIN_1147	AMP	0.92
PROTEIN_1148	AMP	0.89
PROTEIN_1149	AMP	0.99
PROTEIN_1150	NAMP	0.02
PROTEIN_1151	AMP	0.94
PROTEIN_1152	AMP	0.57
PROTEIN_1153	NAMP	0.32
PROTEIN_1154	AMP	0.98
PROTEIN_1155	AMP	0.57
PROTEIN_1156	AMP	0.86
PROTEIN_1157	AMP	0.66
PROTEIN_1158	AMP	0.92
PROTEIN_1159	AMP	0.73
PROTEIN_1160	NAMP	0.05
PROTEIN_1161	AMP	0.92
PROTEIN_1162	AMP	0.91
PROTEIN_1163	AMP	0.96
PROTEIN_1164	AMP	0.72
PROTEIN_1165	AMP	0.64
PROTEIN_1166	NAMP	0.36
PROTEIN_1167	AMP	0.92
PROTEIN_1168	AMP	0.85
PROTEIN_1169	AMP	0.83
PROTEIN_1170	AMP	0.82
PROTEIN_1171	AMP	0.95
PROTEIN_1172	AMP	0.99
PROTEIN_1173	NAMP	0.24
PROTEIN_1174	AMP	0.99
PROTEIN_1175	NAMP	0.00
PROTEIN_1176	NAMP	0.00
PROTEIN_1177	AMP	0.97
PROTEIN_1178	AMP	0.86
PROTEIN_1179	AMP	0.89
PROTEIN_1180	AMP	0.85
PROTEIN_1181	NAMP	0.49
PROTEIN_1182	NAMP	0.04
PROTEIN_1183	AMP	0.91
PROTEIN_1184	AMP	0.62
PROTEIN_1185	AMP	0.72
PROTEIN_1186	AMP	0.98
PROTEIN_1187	AMP	0.94
PROTEIN_1188	AMP	0.80
PROTEIN_1189	AMP	0.98
PROTEIN_1190	NAMP	0.41
PROTEIN_1191	AMP	0.99
PROTEIN_1192	NAMP	0.04
PROTEIN_1193	AMP	0.86
PROTEIN_1194	NAMP	0.35
PROTEIN_1195	AMP	0.87
PROTEIN_1196	AMP	0.99
PROTEIN_1197	AMP	0.99
PROTEIN_1198	AMP	0.62
PROTEIN_1199	NAMP	0.27
PROTEIN_1200	NAMP	0.32
PROTEIN_1201	NAMP	0.39
PROTEIN_1202	NAMP	0.05
PROTEIN_1203	AMP	0.97
PROTEIN_1204	NAMP	0.27
PROTEIN_1205	AMP	0.97
PROTEIN_1206	NAMP	0.48
PROTEIN_1207	NAMP	0.16
PROTEIN_1208	AMP	0.96
PROTEIN_1209	AMP	0.53
PROTEIN_1210	AMP	0.98
PROTEIN_1211	NAMP	0.49
PROTEIN_1212	AMP	0.92
PROTEIN_1213	NAMP	0.34
PROTEIN_1214	AMP	0.64
PROTEIN_1215	NAMP	0.32
PROTEIN_1216	NAMP	0.07
PROTEIN_1217	AMP	0.92
PROTEIN_1218	NAMP	0.49
PROTEIN_1219	AMP	0.73
PROTEIN_1220	NAMP	0.29
PROTEIN_1221	AMP	0.88
PROTEIN_1222	AMP	0.98
PROTEIN_1223	AMP	0.79
PROTEIN_1224	AMP	0.84
PROTEIN_1225	AMP	0.96
PROTEIN_1226	AMP	0.79
PROTEIN_1227	NAMP	0.01
PROTEIN_1228	AMP	0.56
PROTEIN_1229	NAMP	0.15
PROTEIN_1230	AMP	0.91
PROTEIN_1231	NAMP	0.04
PROTEIN_1232	NAMP	0.46
PROTEIN_1233	NAMP	0.34
PROTEIN_1234	NAMP	0.20
PROTEIN_1235	AMP	0.99
PROTEIN_1236	NAMP	0.27
PROTEIN_1237	AMP	0.61
PROTEIN_1238	AMP	0.93
PROTEIN_1239	AMP	0.75
PROTEIN_1240	AMP	0.95
PROTEIN_1241	AMP	0.97
PROTEIN_1242	AMP	0.80
PROTEIN_1243	AMP	0.81
PROTEIN_1244	AMP	0.56
PROTEIN_1245	NAMP	0.42
PROTEIN_1246	AMP	0.86
PROTEIN_1247	NAMP	0.13
PROTEIN_1248	AMP	1.00
PROTEIN_1249	AMP	0.86
PROTEIN_1250	AMP	0.96
PROTEIN_1251	NAMP	0.43
PROTEIN_1252	NAMP	0.13
PROTEIN_1253	AMP	0.76
PROTEIN_1254	AMP	0.88
PROTEIN_1255	AMP	0.70
PROTEIN_1256	AMP	0.74
PROTEIN_1257	AMP	0.98
PROTEIN_1258	AMP	0.97
PROTEIN_1259	NAMP	0.43
PROTEIN_1260	AMP	0.57
PROTEIN_1261	NAMP	0.04
PROTEIN_1262	AMP	0.96
PROTEIN_1263	AMP	0.89
PROTEIN_1264	AMP	0.92
PROTEIN_1265	AMP	0.51
PROTEIN_1266	AMP	0.95
PROTEIN_1267	AMP	0.93
PROTEIN_1268	NAMP	0.16
PROTEIN_1269	AMP	0.67
PROTEIN_1270	AMP	0.73
PROTEIN_1271	AMP	0.96
PROTEIN_1272	NAMP	0.24
PROTEIN_1273	AMP	0.95
PROTEIN_1274	AMP	0.85
PROTEIN_1275	NAMP	0.39
PROTEIN_1276	AMP	0.66
PROTEIN_1277	AMP	0.63
PROTEIN_1278	AMP	0.62
PROTEIN_1279	AMP	0.89
PROTEIN_1280	AMP	0.73
PROTEIN_1281	NAMP	0.29
PROTEIN_1282	AMP	0.83
PROTEIN_1283	AMP	0.65
PROTEIN_1284	AMP	0.98
PROTEIN_1285	AMP	0.97
PROTEIN_1286	AMP	0.94
PROTEIN_1287	AMP	0.52
PROTEIN_1288	AMP	0.54
PROTEIN_1289	AMP	0.90
PROTEIN_1290	AMP	0.68
PROTEIN_1291	AMP	0.90
PROTEIN_1292	AMP	0.93
PROTEIN_1293	AMP	0.95
PROTEIN_1294	AMP	0.99
PROTEIN_1295	AMP	0.98
PROTEIN_1296	AMP	0.92
PROTEIN_1297	NAMP	0.02
PROTEIN_1298	AMP	0.71
PROTEIN_1299	AMP	0.98
PROTEIN_1300	NAMP	0.06
PROTEIN_1301	AMP	0.95
PROTEIN_1302	AMP	0.93
PROTEIN_1303	NAMP	0.40
PROTEIN_1304	NAMP	0.22
PROTEIN_1305	AMP	0.96
PROTEIN_1306	AMP	0.90
PROTEIN_1307	AMP	0.91
PROTEIN_1308	AMP	0.78
PROTEIN_1309	AMP	0.75
PROTEIN_1310	NAMP	0.00
PROTEIN_1311	AMP	0.98
PROTEIN_1312	AMP	0.91
PROTEIN_1313	AMP	0.79
PROTEIN_1314	AMP	0.76
PROTEIN_1315	AMP	0.82
PROTEIN_1316	AMP	0.82
PROTEIN_1317	AMP	0.82
PROTEIN_1318	AMP	0.64
PROTEIN_1319	AMP	1.00
PROTEIN_1320	AMP	0.95
PROTEIN_1321	AMP	0.83
PROTEIN_1322	AMP	0.70
PROTEIN_1323	AMP	0.93
PROTEIN_1324	NAMP	0.17
PROTEIN_1325	NAMP	0.26
PROTEIN_1326	AMP	0.75
PROTEIN_1327	AMP	0.94
PROTEIN_1328	AMP	0.55
PROTEIN_1329	AMP	0.98
PROTEIN_1330	AMP	0.90
PROTEIN_1331	NAMP	0.00
PROTEIN_1332	AMP	0.94
PROTEIN_1333	NAMP	0.04
PROTEIN_1334	AMP	0.89
PROTEIN_1335	NAMP	0.00
PROTEIN_1336	AMP	0.97
PROTEIN_1337	NAMP	0.02
PROTEIN_1338	NAMP	0.34
PROTEIN_1339	AMP	0.70
PROTEIN_1340	NAMP	0.29
PROTEIN_1341	NAMP	0.07
PROTEIN_1342	AMP	0.94
PROTEIN_1343	AMP	0.76
PROTEIN_1344	AMP	0.97
PROTEIN_1345	AMP	0.61
PROTEIN_1346	AMP	0.83
PROTEIN_1347	AMP	0.75
PROTEIN_1348	AMP	0.75
PROTEIN_1349	NAMP	0.42
PROTEIN_1350	AMP	0.74
PROTEIN_1351	AMP	0.86
PROTEIN_1352	AMP	0.73
PROTEIN_1353	NAMP	0.41
PROTEIN_1354	AMP	0.85
PROTEIN_1355	AMP	0.66
PROTEIN_1356	NAMP	0.34
PROTEIN_1357	AMP	0.87
PROTEIN_1358	NAMP	0.04
PROTEIN_1359	AMP	0.80
PROTEIN_1360	AMP	0.91
PROTEIN_1361	NAMP	0.00
PROTEIN_1362	AMP	0.91
PROTEIN_1363	AMP	0.93
PROTEIN_1364	AMP	0.81
PROTEIN_1365	AMP	0.99
PROTEIN_1366	AMP	0.97
PROTEIN_1367	AMP	0.85
PROTEIN_1368	NAMP	0.43
PROTEIN_1369	NAMP	0.35
PROTEIN_1370	NAMP	0.01
PROTEIN_1371	AMP	0.65
PROTEIN_1372	NAMP	0.49
PROTEIN_1373	AMP	0.98
PROTEIN_1374	AMP	0.58
PROTEIN_1375	AMP	0.51
PROTEIN_1376	NAMP	0.21
PROTEIN_1377	AMP	0.91
PROTEIN_1378	NAMP	0.04
PROTEIN_1379	AMP	1.00
PROTEIN_1380	NAMP	0.11
PROTEIN_1381	AMP	0.69
PROTEIN_1382	NAMP	0.08
PROTEIN_1383	AMP	0.93
PROTEIN_1384	AMP	0.91
PROTEIN_1385	AMP	0.97
PROTEIN_1386	AMP	0.71
PROTEIN_1387	AMP	0.68
PROTEIN_1388	NAMP	0.03
PROTEIN_1389	AMP	0.97
PROTEIN_1390	AMP	0.55
PROTEIN_1391	AMP	0.96
PROTEIN_1392	NAMP	0.10
PROTEIN_1393	AMP	0.86
PROTEIN_1394	AMP	0.56
PROTEIN_1395	NAMP	0.26
PROTEIN_1396	AMP	0.84
PROTEIN_1397	NAMP	0.12
PROTEIN_1398	NAMP	0.26
PROTEIN_1399	AMP	0.60
PROTEIN_1400	AMP	0.61
PROTEIN_1401	AMP	0.96
PROTEIN_1402	AMP	0.72
PROTEIN_1403	NAMP	0.39
PROTEIN_1404	AMP	0.92
PROTEIN_1405	NAMP	0.00
PROTEIN_1406	AMP	0.94
PROTEIN_1407	AMP	0.93
PROTEIN_1408	AMP	0.92
PROTEIN_1409	NAMP	0.48
PROTEIN_1410	AMP	0.97
PROTEIN_1411	NAMP	0.03
PROTEIN_1412	AMP	0.97
PROTEIN_1413	AMP	0.51
PROTEIN_1414	AMP	0.58
PROTEIN_1415	AMP	0.67
PROTEIN_1416	AMP	0.77
PROTEIN_1417	NAMP	0.15
PROTEIN_1418	AMP	0.76
PROTEIN_1419	AMP	0.63
PROTEIN_1420	AMP	0.81
PROTEIN_1421	NAMP	0.18
PROTEIN_1422	NAMP	0.11
PROTEIN_1423	AMP	0.94
PROTEIN_1424	AMP	0.91
PROTEIN_1425	AMP	0.95
PROTEIN_1426	AMP	0.96
PROTEIN_1427	NAMP	0.03
PROTEIN_1428	AMP	0.51
PROTEIN_1429	AMP	0.70
PROTEIN_1430	AMP	0.97
PROTEIN_1431	AMP	0.91
PROTEIN_1432	AMP	0.89
PROTEIN_1433	AMP	0.90
PROTEIN_1434	NAMP	0.44
PROTEIN_1435	NAMP	0.19
PROTEIN_1436	AMP	0.57
PROTEIN_1437	AMP	0.66
PROTEIN_1438	NAMP	0.07
PROTEIN_1439	AMP	0.65
PROTEIN_1440	NAMP	0.36
PROTEIN_1441	AMP	0.72
PROTEIN_1442	AMP	0.79
PROTEIN_1443	AMP	0.93
PROTEIN_1444	AMP	0.68
PROTEIN_1445	AMP	0.79
PROTEIN_1446	NAMP	0.14
PROTEIN_1447	AMP	0.99
PROTEIN_1448	AMP	0.67
PROTEIN_1449	NAMP	0.12
PROTEIN_1450	NAMP	0.27
PROTEIN_1451	NAMP	0.22
PROTEIN_1452	NAMP	0.04
PROTEIN_1453	NAMP	0.10
PROTEIN_1454	AMP	0.71
PROTEIN_1455	NAMP	0.05
PROTEIN_1456	NAMP	0.08
PROTEIN_1457	AMP	0.89
PROTEIN_1458	AMP	0.84
PROTEIN_1459	AMP	0.98
PROTEIN_1460	AMP	0.99
PROTEIN_1461	AMP	0.98
PROTEIN_1462	NAMP	0.20
PROTEIN_1463	AMP	0.97
PROTEIN_1464	AMP	0.77
PROTEIN_1465	NAMP	0.46
PROTEIN_1466	AMP	0.95
PROTEIN_1467	NAMP	0.28
PROTEIN_1468	AMP	0.90
PROTEIN_1469	NAMP	0.43
PROTEIN_1470	AMP	0.97
PROTEIN_1471	AMP	0.61
PROTEIN_1472	NAMP	0.30
PROTEIN_1473	AMP	0.55
PROTEIN_1474	NAMP	0.25
PROTEIN_1475	AMP	0.63
PROTEIN_1476	AMP	0.96
PROTEIN_1477	AMP	0.66
PROTEIN_1478	NAMP	0.50
PROTEIN_1479	NAMP	0.43
PROTEIN_1480	AMP	0.78
PROTEIN_1481	NAMP	0.15
PROTEIN_1482	NAMP	0.11
PROTEIN_1483	AMP	0.91
PROTEIN_1484	NAMP	0.09
PROTEIN_1485	AMP	0.85
PROTEIN_1486	AMP	0.78
PROTEIN_1487	AMP	0.67
PROTEIN_1488	AMP	0.98
PROTEIN_1489	AMP	0.72
PROTEIN_1490	AMP	0.95
PROTEIN_1491	AMP	0.86
PROTEIN_1492	NAMP	0.01
PROTEIN_1493	AMP	0.87
PROTEIN_1494	NAMP	0.39
PROTEIN_1495	NAMP	0.38
PROTEIN_1496	AMP	0.92
PROTEIN_1497	NAMP	0.15
PROTEIN_1498	AMP	0.98
PROTEIN_1499	AMP	0.99
PROTEIN_1500	AMP	0.53
PROTEIN_1501	NAMP	0.04
PROTEIN_1502	NAMP	0.22
PROTEIN_1503	AMP	0.64
PROTEIN_1504	NAMP	0.37
PROTEIN_1505	AMP	0.73
PROTEIN_1506	AMP	0.62
PROTEIN_1507	AMP	0.95
PROTEIN_1508	AMP	0.62
PROTEIN_1509	AMP	0.99
PROTEIN_1510	AMP	0.90
PROTEIN_1511	AMP	0.81
PROTEIN_1512	NAMP	0.35
PROTEIN_1513	NAMP	0.09
PROTEIN_1514	AMP	0.92
PROTEIN_1515	AMP	0.76
PROTEIN_1516	AMP	0.87
PROTEIN_1517	AMP	0.79
PROTEIN_1518	AMP	0.90
PROTEIN_1519	AMP	0.79
PROTEIN_1520	AMP	0.57
PROTEIN_1521	NAMP	0.33
PROTEIN_1522	NAMP	0.01
PROTEIN_1523	AMP	0.95
PROTEIN_1524	NAMP	0.42
PROTEIN_1525	NAMP	0.08
PROTEIN_1526	AMP	0.78
PROTEIN_1527	AMP	0.75
PROTEIN_1528	AMP	0.91
PROTEIN_1529	AMP	0.93
PROTEIN_1530	NAMP	0.07
PROTEIN_1531	AMP	0.91
PROTEIN_1532	NAMP	0.35
PROTEIN_1533	AMP	0.97
PROTEIN_1534	AMP	0.67
PROTEIN_1535	NAMP	0.00
PROTEIN_1536	AMP	0.92
PROTEIN_1537	NAMP	0.33
PROTEIN_1538	AMP	0.88
PROTEIN_1539	NAMP	0.14
PROTEIN_1540	AMP	0.89
PROTEIN_1541	AMP	0.68
PROTEIN_1542	AMP	0.95
PROTEIN_1543	NAMP	0.01
PROTEIN_1544	AMP	0.59
PROTEIN_1545	AMP	0.80
PROTEIN_1546	NAMP	0.15
PROTEIN_1547	NAMP	0.35
PROTEIN_1548	AMP	0.60
PROTEIN_1549	AMP	0.79
PROTEIN_1550	NAMP	0.45
PROTEIN_1551	AMP	0.64
PROTEIN_1552	AMP	0.77
PROTEIN_1553	AMP	0.97
PROTEIN_1554	NAMP	0.07
PROTEIN_1555	AMP	0.77
PROTEIN_1556	AMP	0.98
PROTEIN_1557	AMP	1.00
PROTEIN_1558	AMP	0.80
PROTEIN_1559	AMP	0.92
PROTEIN_1560	AMP	0.96
PROTEIN_1561	AMP	0.61
PROTEIN_1562	AMP	0.92
PROTEIN_1563	AMP	0.81
PROTEIN_1564	AMP	0.89
PROTEIN_1565	NAMP	0.02
PROTEIN_1566	NAMP	0.20
PROTEIN_1567	AMP	0.99
PROTEIN_1568	NAMP	0.00
PROTEIN_1569	AMP	0.92
PROTEIN_1570	NAMP	0.49
PROTEIN_1571	NAMP	0.03
PROTEIN_1572	AMP	0.64
PROTEIN_1573	NAMP	0.20
PROTEIN_1574	AMP	0.99
PROTEIN_1575	AMP	0.80
PROTEIN_1576	NAMP	0.09
PROTEIN_1577	AMP	0.99
PROTEIN_1578	AMP	0.83
PROTEIN_1579	NAMP	0.24
PROTEIN_1580	AMP	0.76
PROTEIN_1581	AMP	0.96
